Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_intensive,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,serious_cases,active,alpha3,susc_not_ill
Italy,total,2020-02-24,229,1,7,26,101,94,4324,NA,NA,NA,221,ITA,60316771
Italy,total,2020-02-25,322,1,10,35,114,162,8623,NA,NA,NA,311,ITA,60316678
Italy,total,2020-02-26,400,3,12,36,128,221,9587,NA,NA,NA,385,ITA,60316600
Italy,total,2020-02-27,650,45,17,56,248,284,12014,NA,NA,NA,588,ITA,60316350
Italy,total,2020-02-28,888,46,21,64,345,412,15695,NA,NA,NA,821,ITA,60316112
Italy,total,2020-02-29,1128,50,29,105,401,543,18661,NA,NA,NA,1049,ITA,60315872
Italy,total,2020-03-01,1694,83,34,140,639,798,21127,NA,NA,NA,1577,ITA,60315306
Italy,total,2020-03-02,2036,149,52,166,742,927,23345,NA,NA,NA,1835,ITA,60314964
Italy,total,2020-03-03,2502,160,79,229,1034,1000,25856,NA,NA,NA,2263,ITA,60314498
Italy,total,2020-03-04,3089,276,107,295,1346,1065,29837,NA,NA,NA,2706,ITA,60313911
Italy,total,2020-03-05,3858,414,148,351,1790,1155,32362,NA,NA,NA,3296,ITA,60313142
Italy,total,2020-03-06,4636,523,197,462,2394,1060,36359,NA,NA,NA,3916,ITA,60312364
Italy,total,2020-03-07,5883,589,233,567,2651,1843,42062,NA,NA,NA,5061,ITA,60311117
Italy,total,2020-03-08,7375,622,366,650,3557,2180,49937,NA,NA,NA,6387,ITA,60309625
Italy,total,2020-03-09,9172,724,463,733,4316,2936,53826,NA,NA,NA,7985,ITA,60307828
Italy,total,2020-03-10,10149,1004,631,877,5038,2599,60761,NA,NA,NA,8514,ITA,60306851
Italy,total,2020-03-11,12462,1045,827,1028,5838,3724,73154,NA,NA,NA,10590,ITA,60304538
Italy,total,2020-03-12,15113,1258,1016,1153,6650,5036,86011,NA,NA,NA,12839,ITA,60301887
Italy,total,2020-03-13,17660,1439,1266,1328,7426,6201,97488,NA,NA,NA,14955,ITA,60299340
Italy,total,2020-03-14,21157,1966,1441,1518,8372,7860,109170,NA,NA,NA,17750,ITA,60295843
Italy,total,2020-03-15,24747,2335,1809,1672,9663,9268,124899,NA,NA,NA,20603,ITA,60292253
Italy,total,2020-03-16,27980,2749,2158,1851,11025,10197,137962,NA,NA,NA,23073,ITA,60289020
Italy,total,2020-03-17,31506,2941,2503,2060,12894,11108,148657,NA,NA,NA,26062,ITA,60285494
Italy,total,2020-03-18,35713,4025,2978,2257,14363,12090,165541,NA,NA,NA,28710,ITA,60281287
Italy,total,2020-03-19,41035,4440,3405,2498,15757,14935,182777,NA,NA,NA,33190,ITA,60275965
Italy,total,2020-03-20,47021,5129,4032,2655,16020,19185,206886,NA,NA,NA,37860,ITA,60269979
Italy,total,2020-03-21,53578,6072,4825,2857,17708,22116,233222,NA,NA,NA,42681,ITA,60263422
Italy,total,2020-03-22,59138,7024,5476,3009,19846,23783,258402,NA,NA,NA,46638,ITA,60257862
Italy,total,2020-03-23,63927,7432,6077,3204,20692,26522,275468,NA,NA,NA,50418,ITA,60253073
Italy,total,2020-03-24,69176,8326,6820,3396,21937,28697,296964,NA,NA,NA,54030,ITA,60247824
Italy,total,2020-03-25,74386,9362,7503,3489,23112,30920,324445,NA,NA,NA,57521,ITA,60242614
Italy,total,2020-03-26,80539,10361,8165,3612,24753,33648,361060,NA,NA,NA,62013,ITA,60236461
Italy,total,2020-03-27,86498,10950,9134,3732,26029,36653,394079,NA,NA,NA,66414,ITA,60230502
Italy,total,2020-03-28,92472,12384,10023,3856,26676,39533,429526,NA,NA,NA,70065,ITA,60224528
Italy,total,2020-03-29,97689,13030,10779,3906,27386,42588,454030,NA,NA,NA,73880,ITA,60219311
Italy,total,2020-03-30,101739,14620,11591,3981,27795,43752,477359,NA,NA,NA,75528,ITA,60215261
