"","Country.Region","Province.State","date","confirmed","recovered","deaths","hospitalized_symptoms","isolated_at_home","tested","close_observation","suspected","hospitalized_intensive","active"
"1","Italy","Lombardia",2020-02-24,172,0,6,76,71,1463,NA,NA,19,166
"2","Italy","Lombardia",2020-02-25,240,0,9,79,127,3700,NA,NA,25,231
"3","Italy","Lombardia",2020-02-26,258,0,9,79,145,3208,NA,NA,25,249
"4","Italy","Lombardia",2020-02-27,403,40,14,172,136,3320,NA,NA,41,349
"5","Italy","Lombardia",2020-02-28,531,40,17,235,192,4835,NA,NA,47,474
"6","Italy","Lombardia",2020-02-29,615,40,23,256,216,5723,NA,NA,80,552
"7","Italy","Lombardia",2020-03-01,984,73,24,406,375,6879,NA,NA,106,887
"8","Italy","Lombardia",2020-03-02,1254,139,38,478,472,7925,NA,NA,127,1077
"9","Italy","Lombardia",2020-03-03,1520,139,55,698,461,9577,NA,NA,167,1326
"10","Italy","Lombardia",2020-03-04,1820,250,73,877,411,12138,NA,NA,209,1497
"11","Italy","Lombardia",2020-03-05,2251,376,98,1169,364,12354,NA,NA,244,1777
"12","Italy","Lombardia",2020-03-06,2612,469,135,1622,77,13556,NA,NA,309,2008
"13","Italy","Lombardia",2020-03-07,3420,524,154,1661,722,15778,NA,NA,359,2742
"14","Italy","Lombardia",2020-03-08,4189,550,267,2217,756,18534,NA,NA,399,3372
"15","Italy","Lombardia",2020-03-09,5469,646,333,2802,1248,20135,NA,NA,440,4490
"16","Italy","Lombardia",2020-03-10,5791,896,468,3319,642,21479,NA,NA,466,4427
"17","Italy","Lombardia",2020-03-11,7280,900,617,3852,1351,25629,NA,NA,560,5763
"18","Italy","Lombardia",2020-03-12,8725,1085,744,4247,2044,29534,NA,NA,605,6896
"19","Italy","Lombardia",2020-03-13,9820,1198,890,4435,2647,32700,NA,NA,650,7732
"20","Italy","Lombardia",2020-03-14,11685,1660,966,4898,3429,37138,NA,NA,732,9059
"21","Italy","Lombardia",2020-03-15,13272,2011,1218,5500,3776,40369,NA,NA,767,10043
"22","Italy","Lombardia",2020-03-16,14649,2368,1420,6171,3867,43565,NA,NA,823,10861
"23","Italy","Lombardia",2020-03-17,16220,2485,1640,6953,4263,46449,NA,NA,879,12095
"24","Italy","Lombardia",2020-03-18,17713,3488,1959,7285,4057,48983,NA,NA,924,12266
"25","Italy","Lombardia",2020-03-19,19884,3778,2168,7387,5545,52244,NA,NA,1006,13938
"26","Italy","Lombardia",2020-03-20,22264,4295,2549,7735,6635,57174,NA,NA,1050,15420
"27","Italy","Lombardia",2020-03-21,25515,5050,3095,8258,8019,66730,NA,NA,1093,17370
"28","Italy","Lombardia",2020-03-22,27206,5865,3456,9439,7304,70598,NA,NA,1142,17885
"29","Italy","Lombardia",2020-03-23,28761,6075,3776,9266,8461,73242,NA,NA,1183,18910
